id,JobTitle,Category,CompanyName,Description,Requirements,Responsibility,SalaryRange,Benefits,PostingDate,WorkType,Location
1,DevOps Engineer,IT,DevOps Australia,Automate and optimize development and deployment processes.,"DevOps practices,CI/CD,Cloud platforms",Streamline software development and operations.,"$80,000 - $100,000 per year","Life insurance, Remote work options",2023/5/20,Full time,Perth
2,Frontend Developer,Web Development,Outback Dev,"Design and build responsive web applications, ensuring cross-browser compatibility","3+ years experience with HTML, CSS, JavaScript","Develop new user-facing features, optimize page load times, implement responsive design","$80,000-$100,000","Remote work, annual tech budget",2023/3/5,Full-time,Adelaide
3,Data Engineer,Data,Aussie Data Corp,"Build scalable data pipelines, ensure optimal ETL processes and data warehousing","5+ years experience in data engineering, excellent Python & SQL skills","Develop ETL processes, create data pipelines, query and manipulate large datasets","$90,000-$120,000","Flexible work arrangements, annual bonus",2023/4/1,Full-time,Canberra
4,DevOps Engineer,IT,Continuous Infrastructure,"Implement CI/CD pipelines, automate deployment processes, monitor systems","3+ years experience with DevOps tools like Jenkins, Docker, Kubernetes","Improve existing CI/CD processes, scale infrastructure, troubleshoot issues","$110,000-$140,000","Remote work, paid conference budget",2023/3/15,Full-time,Brisbane
5,Product Manager,Product,Wallaby Products,"Define product vision, gather requirements, prioritize features, communicate with stakeholders","5+ years experience in product management, technical background preferred","Lead cross-functional product development, conduct market analysis, develop roadmaps","$100,000-$130,000","Equity in company, unlimited vacation",2023/4/20,Full-time,Sydney
6,Back End Developer,Engineering,Dundee Software,"Design server architecture, build APIs, integrate systems, ensure security","5+ years experience with Node.js, Python, Java, MySQL","Develop REST APIs, implement authentication, optimize performance","$90,000-$120,000","Professional development stipend, remote work",2023/5/1,Full-time,Melbourne
7,Mobile Developer,Engineering,AppCo,Design and build cross-platform iOS and Android apps,3+ years experience with Kotlin/Java and Swift/Objective-C,"Develop new user-facing features, optimize performance","$90,000-$110,000","Flexible work hours, annual phone stipend",2023/4/1,Full-time,Brisbane
8,Systems Administrator,IT,Aussie Networks,"Install and configure systems, troubleshoot issues, automate processes",3+ years experience managing Linux and Windows servers,"Monitor performance, maintain systems uptime, implement security measures","$70,000-$90,000 ","Remote work options, professional development fund",2023/3/10,Full-time,Canberra
9,Software Engineer,Engineering,CodeCorp,"Design, implement, test, and maintain software solutions","Bachelor's in computer science or related field, experience with Java or C#","Collaborate with cross-functional teams, write clean code, troubleshoot bugs","$80,000-$100,000","Unlimited PTO, annual tech conference budget",2023/4/15,Full-time,Brisbane
10,Data Analyst,Analytics,Zetta Insights,"Collect, clean, and analyze data to find actionable insights","Bachelor's degree in analytics, math, or statistics","Mine data for trends and patterns, visualize findings","$70,000-$90,000","401k matching, unlimited PTO",2023/3/29,Full-time,Adelaide
11,Solutions Architect,IT,Aussie Cloud Partners,Design optimal cloud solutions that meet business needs,5+ years experience designing cloud architecture,"Advise clients on approaches, migrate legacy systems to cloud","$120,000-$150,000","Annual cloud training stipend, remote work options",2023/4/12,Full-time,Brisbane
12,Technical Program Manager,Management,Tasman Solutions,"Coordinate engineering resources, remove roadblocks, manage timelines","3+ years experience in program management, PMP certification","Create and manage project plans, mitigate risks","$100,000-$130,000","401k matching, unlimited PTO",2023/5/1,Full-time,Sydney
13,Network Engineer,IT,Aussie Networks,"Design, implement, and maintain networking infrastructure","CCNA/CCNP certification, 3+ years experience","Configure routers, switches, firewalls, troubleshoot issues","$80,000-$100,000","Remote work, on-call stipend",2023/4/15,Full-time,Adelaide
14,Database Administrator,IT,Data Systems AU,"Implement, optimize, secure and troubleshoot database systems","3+ years managing MySQL, Oracle or SQL Server","Ensure uptime and performance, manage permissions","$90,000-$110,000","401k matching, annual conference budget",2023/5/12,Full-time,Perth
15,DevOps Engineer,IT,CloudReliable,"Implement CI/CD pipelines, streamline deployments, monitor systems","3+ years experience with Jenkins, Docker, AWS","Automate processes, manage infrastructure as code","$100,000-$130,000","401k matching, unlimited PTO",2023/4/22,Full-time,Perth
16,Data Engineer,Data,Big Data Corporation,"Develop data pipelines and architecture, build warehouses","5+ years experience, expertise with Spark, Python","Architect data lakes, build ETL processes","$110,000-$140,000","401k matching, annual bonus",2023/5/17,Full-time,Sydney
